DATE,CSUSHPISA,Year,Month,UNRATE,CPI,GDP,MRATE,NewHome,Vacanthome,UMCSENT,Concost,POPTHM
2003-09-01,136.29399999999998,2003,9,6.1,2.1842475,,6.1475,3.8,,87.7,463954.0,291222.0
2003-10-01,137.531,2003,10,6.0,2.1611133,11772.234,5.952,3.8,15654.0,89.6,475234.0,291463.0
2003-11-01,138.79399999999998,2003,11,5.8,2.0365931,,5.9325,4.1,,93.7,490441.0,291677.0
2003-12-01,140.179,2003,12,5.7,1.976213,,5.8759999999999994,4.0,,92.6,508637.0,291868.0
2004-01-01,141.64600000000002,2004,1,5.7,1.9607229,11923.447,5.7125,3.8,15895.0,103.8,503659.0,292046.0
2004-02-01,143.192,2004,2,5.6,2.0481367,,5.635,3.7,,94.4,505081.0,292230.0
2004-03-01,145.059,2004,3,5.8,2.1370611,,5.445,3.6,,95.8,511829.0,292434.0
2004-04-01,146.593,2004,4,5.6,2.2577613,12112.815,5.83,4.0,16079.0,94.2,517912.0,292651.0
2004-05-01,148.186,2004,5,5.6,2.2378638,,6.27,3.8,,90.2,528180.0,292872.0
2004-06-01,149.85,2004,6,5.6,2.3794884,,6.2875,3.9,,95.6,533358.0,293103.0
2004-07-01,151.338,2004,7,5.5,2.2638524,12305.307,6.056,4.5,15656.0,96.7,549031.0,293350.0
2004-08-01,152.63299999999998,2004,8,5.4,2.2577292,,5.8675,4.3,,95.9,557411.0,293603.0
2004-09-01,154.179,2004,9,5.4,2.240201,,5.754,4.1,,94.2,552375.0,293857.0
2004-10-01,155.75,2004,10,5.5,2.2372194,12527.214,5.7225,3.9,15361.0,91.7,556425.0,294104.0
2004-11-01,157.52700000000002,2004,11,5.4,2.3012131,,5.73,4.3,,92.8,555944.0,294337.0
2004-12-01,159.33,2004,12,5.4,2.3138859,,5.752,4.1,,97.1,571871.0,294561.0
2005-01-01,161.28799999999998,2005,1,5.3,2.3158903,12767.286,5.71,4.4,15748.0,95.5,581168.0,294768.0
2005-02-01,163.344,2005,2,5.4,2.2862449,,5.6275,4.3,,94.1,594003.0,294955.0
2005-03-01,165.812,2005,3,5.2,2.2461526,,5.928,4.1,,92.6,597200.0,295149.0
2005-04-01,167.50099999999998,2005,4,5.2,2.2397223,12922.656,5.855,4.3,16061.0,87.7,603975.0,295359.0
2005-05-01,169.351,2005,5,5.1,2.3579552,,5.72,4.2,,86.9,609170.0,295582.0
2005-06-01,171.19,2005,6,5.0,2.1993552,,5.582,4.3,,96.0,622726.0,295824.0
2005-07-01,172.86,2005,7,5.0,2.3010794,13142.642,5.695,4.2,15883.0,96.5,634572.0,296077.0
2005-08-01,174.442,2005,8,4.9,2.2644059,,5.82,4.5,,89.1,639501.0,296338.0
2005-09-01,176.438,2005,9,5.0,2.3340762,,5.774,4.7,,76.9,652748.0,296606.0
2005-10-01,178.028,2005,10,5.0,2.3253024,13324.204,6.065,4.5,15823.0,74.2,664407.0,296857.0
2005-11-01,179.68,2005,11,5.0,2.4316658,,6.33,5.0,,81.6,670757.0,297089.0
2005-12-01,180.91,2005,12,4.9,2.4690335,,6.272,4.9,,91.5,676135.0,297311.0
2006-01-01,182.321,2006,1,4.7,2.4510191,13599.16,6.145,5.3,16234.0,91.2,681263.0,297526.0
2006-02-01,183.287,2006,2,4.8,2.4992554,,6.2525,6.1,,86.7,684482.0,297734.0
2006-03-01,184.364,2006,3,4.7,2.581219,,6.324,5.9,,88.9,674457.0,297950.0
2006-04-01,184.329,2006,4,4.7,2.6806926,13753.424,6.5075,6.3,16513.0,87.4,656899.0,298170.0
2006-05-01,184.156,2006,5,4.6,2.7839595,,6.5975,6.2,,79.1,640049.0,298401.0
2006-06-01,183.507,2006,6,4.6,3.0344298,,6.6819999999999995,6.3,,84.9,621219.0,298653.0
2006-07-01,183.068,2006,7,4.7,3.0939988,13870.188,6.7625,7.3,16769.0,84.7,604020.0,298910.0
2006-08-01,182.594,2006,8,4.7,3.2251144,,6.523999999999999,6.7,,82.0,590189.0,299178.0
2006-09-01,182.798,2006,9,4.5,3.212012,,6.4025,6.7,,85.4,579753.0,299452.0
2006-10-01,183.198,2006,10,4.4,3.2911246,14039.56,6.3575,7.3,16894.0,93.6,567752.0,299710.0
2006-11-01,183.609,2006,11,4.5,3.1482614,,6.24,6.6,,92.1,555299.0,299950.0
2006-12-01,184.139,2006,12,4.4,3.1241583,,6.135,6.5,,91.7,551740.0,300178.0
2007-01-01,184.517,2007,1,4.6,3.1457342,14215.651,6.2175,7.2,17724.0,96.9,544096.0,300398.0
2007-02-01,184.598,2007,2,4.5,3.161558,,6.285,7.9,,91.3,538260.0,300608.0
2007-03-01,184.15,2007,3,4.4,3.1090014,,6.156000000000001,7.9,,88.4,534655.0,300823.0
2007-04-01,183.01,2007,4,4.5,2.9667028,14402.082,6.18,7.4,17547.0,87.1,530749.0,301045.0
2007-05-01,181.6,2007,5,4.4,2.783324,,6.2620000000000005,7.8,,88.3,521499.0,301278.0
2007-06-01,180.254,2007,6,4.6,2.6305791,,6.657500000000001,8.2,,85.3,513524.0,301528.0
2007-07-01,179.111,2007,7,4.7,2.5346411,14564.117,6.695,8.3,18049.0,90.4,503486.0,301790.0
2007-08-01,178.116,2007,8,4.6,2.4685402,,6.572,9.2,,83.4,488816.0,302064.0
2007-09-01,177.558,2007,9,4.7,2.4838823,,6.3825,9.2,,83.4,472995.0,302334.0
2007-10-01,176.62400000000002,2007,10,4.7,2.5033248,14715.058,6.375,8.5,17910.0,80.9,455045.0,302590.0
2007-11-01,175.14700000000002,2007,11,4.7,2.6563697,,6.208,9.4,,76.1,439144.0,302834.0
2007-12-01,174.342,2007,12,5.0,2.7127336,,6.095,9.6,,75.5,423699.0,303062.0
2008-01-01,173.132,2008,1,5.0,2.7470404,14706.538,5.758,9.3,18642.0,78.4,409420.0,303280.0
2008-02-01,171.541,2008,2,4.9,2.6165653,,5.9175,9.7,,70.8,393193.0,303494.0
2008-03-01,170.053,2008,3,5.1,2.6887664,,5.97,10.5,,69.5,397469.0,303707.0
2008-04-01,168.338,2008,4,5.0,2.7251103,14865.701,5.9175,10.3,18701.0,62.6,392801.0,303926.0
2008-05-01,166.65900000000002,2008,5,5.4,2.7937419,,6.036,10.7,,59.8,389335.0,304157.0
2008-06-01,165.017,2008,6,5.6,2.9376962,,6.32,10.7,,56.4,382000.0,304396.0
2008-07-01,163.566,2008,7,5.8,3.0142542,14898.999,6.425999999999999,10.5,18651.0,61.2,372755.0,304646.0
2008-08-01,161.987,2008,8,6.1,3.0845059,,6.4775,11.3,,63.0,360382.0,304903.0
2008-09-01,160.308,2008,9,6.1,3.0766785,,6.0375,10.9,,70.3,348206.0,305158.0
2008-10-01,158.327,2008,10,6.5,2.9291949,14608.209,6.2,11.6,18973.0,57.6,336824.0,305403.0
2008-11-01,156.142,2008,11,6.8,2.7864624,,6.0875,11.4,,55.3,320284.0,305620.0
2008-12-01,153.619,2008,12,7.3,2.6304305,,5.286,11.2,,60.1,301332.0,305827.0
2009-01-01,151.507,2009,1,7.8,2.5522481,14430.902,5.047499999999999,12.2,19137.0,61.2,291523.0,306035.0
2009-02-01,150.015,2009,2,8.3,2.5594949,,5.13,10.5,,56.3,276113.0,306237.0
2009-03-01,148.66,2009,3,8.7,2.4535819,,5.0025,11.0,,57.3,262528.0,306438.0
2009-04-01,147.94899999999998,2009,4,9.0,2.3761457,14381.236,4.8100000000000005,10.7,18752.0,65.1,251235.0,306645.0
2009-05-01,147.694,2009,5,9.4,2.2888288,,4.8575,9.3,,68.7,244399.0,306863.0
2009-06-01,148.09,2009,6,9.5,2.0898948,,5.42,8.5,,70.8,245226.0,307090.0
2009-07-01,148.41,2009,7,9.5,1.9228669,14448.882,5.2219999999999995,7.9,18996.0,66.0,252642.0,307322.0
2009-08-01,148.278,2009,8,9.6,1.7701932,,5.1925,7.5,,65.7,258774.0,307570.0
2009-09-01,148.025,2009,9,9.8,1.6158958,,5.0575,7.8,,73.5,262509.0,307826.0
2009-10-01,147.85,2009,10,10.0,1.5209969,14651.249,4.952,7.4,19006.0,70.6,263232.0,308071.0
2009-11-01,148.134,2009,11,9.9,1.3714917,,4.875,7.6,,67.4,263973.0,308289.0
2009-12-01,147.929,2009,12,9.9,1.3248615,,4.93,8.0,,72.5,264592.0,308495.0
2010-01-01,147.39600000000002,2010,1,9.8,1.1770019,14764.61,5.03,8.1,19126.0,74.4,263680.0,308706.0
2010-02-01,145.631,2010,2,9.8,1.0548474,,4.99,8.3,,73.6,263649.0,308904.0
2010-03-01,145.859,2010,3,9.9,0.93183853,,4.9675,7.1,,73.6,263220.0,309095.0
2010-04-01,146.403,2010,4,9.9,0.87602978,14980.193,5.098000000000001,6.2,19022.0,72.2,264593.0,309289.0
2010-05-01,146.394,2010,5,9.6,0.7998678,,4.8875,9.3,,73.6,263020.0,309485.0
2010-06-01,145.721,2010,6,9.4,0.78483473,,4.7375,8.3,,76.0,261202.0,309691.0
2010-07-01,144.991,2010,7,9.4,0.74959322,15141.607,4.564,8.9,18933.0,67.8,254964.0,309913.0
2010-08-01,143.916,2010,8,9.5,0.69562861,,4.4275,8.8,,68.9,249367.0,310146.0
2010-09-01,143.019,2010,9,9.5,0.6676136,,4.346,7.6,,68.2,249015.0,310385.0
2010-10-01,142.531,2010,10,9.4,0.67526624,15309.474,4.225,8.2,18551.0,67.7,247981.0,310612.0
2010-11-01,142.173,2010,11,9.8,0.82600201,,4.3,8.2,,71.6,248808.0,310820.0
2010-12-01,142.06,2010,12,9.3,0.83710132,,4.714,7.0,,74.5,248929.0,311020.0
2011-01-01,141.52100000000002,2011,1,9.1,0.96003713,15351.448,4.755,7.3,18998.0,74.2,250965.0,311204.0
2011-02-01,140.35,2011,2,9.0,1.1238816,,4.9525,8.1,,77.5,249760.0,311373.0
2011-03-01,139.981,2011,3,9.0,1.1861014,,4.836,7.2,,67.5,251180.0,311551.0
2011-04-01,140.01,2011,4,9.1,1.21555,15557.539,4.84,6.7,18843.0,69.8,253897.0,311740.0
2011-05-01,139.905,2011,5,9.0,1.2613949,,4.6375,6.6,,74.3,254629.0,311935.0
2011-06-01,139.862,2011,6,9.1,1.2990532,,4.51,6.6,,71.5,256286.0,312147.0
2011-07-01,139.73,2011,7,9.0,1.4236275,15647.68,4.545,6.7,18803.0,63.7,257737.0,312372.0
2011-08-01,139.309,2011,8,9.0,1.6569751,,4.27,6.5,,55.8,259960.0,312605.0
2011-09-01,138.668,2011,9,9.0,1.7268145,,4.106,6.3,,59.5,258293.0,312842.0
2011-10-01,137.952,2011,10,8.8,1.8413647,15842.259,4.0675,6.0,18389.0,60.8,260305.0,313060.0
2011-11-01,137.15200000000002,2011,11,8.6,1.8407168,,3.9925,5.7,,63.7,254401.0,313260.0
2011-12-01,136.674,2011,12,8.5,2.0478499,,3.9579999999999997,5.3,,69.9,255090.0,313454.0
2012-01-01,136.607,2012,1,8.3,2.1159285,16068.805,3.915,5.3,18476.0,75.0,259223.0,313636.0
2012-02-01,136.533,2012,2,8.3,2.0181912,,3.89,4.8,,75.3,254120.0,313811.0
2012-03-01,137.904,2012,3,8.2,2.1247577,,3.9539999999999997,4.9,,76.2,258662.0,313993.0
2012-04-01,139.154,2012,4,8.2,2.1937928,16207.115,3.91,4.9,18519.0,76.4,265032.0,314176.0
2012-05-01,140.155,2012,5,8.2,2.1896843,,3.7979999999999996,4.7,,79.3,269833.0,314368.0
2012-06-01,141.029,2012,6,8.2,2.2407468,,3.675,4.8,,73.2,275699.0,314576.0
2012-07-01,141.66899999999998,2012,7,8.2,2.2616531,16319.541,3.55,4.6,18149.0,72.3,279707.0,314796.0
2012-08-01,142.279,2012,8,8.1,2.1718632,,3.6019999999999994,4.6,,74.3,285467.0,315031.0
2012-09-01,142.908,2012,9,7.8,2.2199385,,3.4975,4.5,,78.3,292076.0,315264.0
2012-10-01,143.6,2012,10,7.8,2.2070705,16420.419,3.3825000000000003,4.9,17939.0,82.6,300200.0,315485.0
2012-11-01,144.585,2012,11,7.7,2.1959869,,3.3519999999999994,4.6,,82.7,302823.0,315692.0
2012-12-01,145.503,2012,12,7.9,2.1097305,,3.3449999999999998,4.5,,72.9,305105.0,315877.0
2013-01-01,146.827,2013,1,8.0,2.0682971,16648.189,3.414,4.0,18459.0,73.8,309893.0,316038.0
2013-02-01,147.785,2013,2,7.7,2.146017,,3.5324999999999998,4.1,,77.6,314633.0,316191.0
2013-03-01,149.963,2013,3,7.5,2.0999025,,3.565,4.2,,78.6,318708.0,316357.0
2013-04-01,151.519,2013,4,7.6,1.9354319,16728.687,3.4450000000000003,4.4,18165.0,76.4,322768.0,316535.0
2013-05-01,152.85,2013,5,7.5,1.907797,,3.536,4.6,,84.5,327919.0,316729.0
2013-06-01,154.19899999999998,2013,6,7.5,1.8766189,,4.07,4.1,,84.1,330608.0,316934.0
2013-07-01,155.60399999999998,2013,7,7.3,1.867879,16953.838,4.37,5.5,18177.0,85.1,334273.0,317156.0
2013-08-01,156.965,2013,8,7.2,1.9142202,,4.456,5.5,,82.1,341543.0,317397.0
2013-09-01,158.227,2013,9,7.2,1.8904211,,4.49,5.4,,77.5,345327.0,317635.0
2013-10-01,159.24200000000002,2013,10,7.2,1.8687356,17192.019,4.192,4.9,18087.0,73.2,351749.0,317864.0
2013-11-01,160.07399999999998,2013,11,6.9,1.8930866,,4.255,5.0,,75.1,358973.0,318076.0
2013-12-01,160.994,2013,12,6.7,1.8711904,,4.4575,5.2,,82.5,366094.0,318276.0
2014-01-01,161.92700000000002,2014,1,6.6,1.8218145,17197.738,4.432,5.1,18453.0,81.2,373352.0,318464.0
2014-02-01,162.526,2014,2,6.7,1.7891863,,4.3025,5.3,,81.6,368792.0,318642.0
2014-03-01,163.086,2014,3,6.7,1.8208567,,4.3425,5.6,,80.0,374228.0,318827.0
2014-04-01,163.393,2014,4,6.2,2.0251612,17518.508,4.3375,5.7,18219.0,84.1,380061.0,319020.0
2014-05-01,163.66,2014,5,6.3,2.1282345,,4.192,5.2,,81.9,381415.0,319225.0
